,nodes,edges,density,avg_degree,has_weights
boolean_neighbors_dense,411,2529,0.015008011393982553,12.306569343065693,False
gravity_model_dense_k15,411,6576,0.03902439024390244,32.0,True
gravity_model_dense_k20,411,8631,0.05121951219512195,42.0,True
gravity_model_dense_k25,411,10686,0.06341463414634146,52.0,True
k_nearest_dense,411,8631,0.05121951219512195,42.0,False
k_nearest_dense_k30,411,12741,0.07560975609756097,62.0,False
distance_threshold_dense_200k,411,22026,0.13071034359978637,107.18248175182482,False
distance_threshold_dense_300k,411,42754,0.2537178802444959,208.04866180048663,False
